trial#,pattern,playstamp,playendstamp
1,l,1069,2575
trial#,pattern,playstamp,playendstamp
1,j,111826,113335
2,f,120594,122097
3,r,176496,178005
4,c,184383,185886
5,r,193275,194778
6,t,203596,205101
7,f,211875,213379
trial#,pattern,playstamp,playendstamp
1,j,1128,2633
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
1,v,1325,2829
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
1,r,1341,2845
2,r,5123,6628
3,c,10158,11661
4,l,14620,16123
5,c,22532,24036
6,j,30424,31927
7,c,33974,35477
8,a,42523,44026
9,t,47011,48514
trial#,pattern,playstamp,playendstamp
1,j,1011,2516
trial#,pattern,playstamp,playendstamp
1,f,25790,27298
2,v,68962,70469
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
1,c,2683,0
2,f,7148,0
3,f,12365,0
4,l,18127,0
5,r,255563,0
6,c,263918,0
7,f,267382,0
8,j,270727,0
9,c,273955,0
10,v,277413,0
11,l,280634,0
12,j,286296,0
13,r,289616,0
14,f,293805,0
15,r,297673,0
16,v,300697,0
17,v,309836,0
18,v,313068,0
19,l,316247,0
20,l,319139,0
21,t,321762,0
22,t,325142,0
23,j,330020,0
24,r,339387,0
25,t,342389,0
26,a,345163,0
27,a,348698,0
28,c,351693,0
29,c,354268,0
30,a,392240,0
31,t,394923,0
32,t,397255,0
33,r,402900,0
34,a,405773,0
35,a,408691,0
36,l,411115,0
37,j,413856,0
trial#,pattern,playstamp,playendstamp
1,l,5492,0
2,a,20667,0
3,r,25331,0
4,v,30571,0
5,v,34867,0
6,t,39351,0
trial#,pattern,playstamp,playendstamp
1,r,4414,0
2,v,8689,0
3,j,15974,0
4,f,20226,0
trial#,pattern,playstamp,playendstamp
trial#,pattern,playstamp,playendstamp
1,f,2594,0
2,a,5886,0
3,c,8336,0
trial#,pattern,playstamp,playendstamp
1,f,2626,0
2,t,5259,0
3,v,7529,0
4,a,29875,0
5,j,32543,0
6,v,35096,0
7,f,38702,0
8,t,42953,0
9,t,46432,0
10,c,50289,0
11,t,54745,0
trial#,pattern,playstamp,playendstamp
1,t,4195,0
2,l,8271,0
3,t,12354,0
4,a,16223,0
5,r,22463,0
6,f,88260,0
7,r,92636,0
8,v,96723,0
9,c,101079,0
10,t,105253,0
trial#,pattern,playstamp,playendstamp
1,a,4095,0
2,l,8421,0
3,l,12608,0
trial#,pattern,playstamp,playendstamp
1,t,2579,0
2,v,7310,0
3,r,10080,0
4,v,13582,0
5,r,15943,0
6,f,19218,0
7,f,26027,0
8,a,38310,0
9,v,45631,0
10,l,50969,0
11,t,53556,0
12,l,58452,0
13,f,61402,0
14,f,63906,0
15,v,67126,0
16,a,69593,0
trial#,pattern,playstamp,playendstamp
1,t,1761,0
2,j,6423,0
3,r,14630,0
4,l,17866,0
5,c,19352,0
6,f,21180,0
7,c,22780,0
8,r,25207,0
9,l,27297,0
10,r,28923,0
trial#,pattern,playstamp,playendstamp
1,r,1163,0
2,a,2585,0
3,c,4000,0
trial#,pattern,playstamp,playendstamp
1,j,2598,0
2,c,6631,0
trial#,pattern,playstamp,playendstamp
1,j,2451,0
2,a,4909,0
3,v,8577,0
4,j,11156,0
5,t,14023,0
6,v,16589,0
7,f,19046,0
8,c,21357,0
trial#,pattern,playstamp,playendstamp
1,a,6115,0
2,t,16288,0
3,a,29711,0
