trial#,pattern,answer,confidence,playstamp,playendstamp,enterstamp
1,b2,6,3,10499,13005,17992
2,b3,7,1,19487,21990,26433
3,b0,7,3,27422,29925,32741
4,a3,2,1,33817,36321,40697
5,b12,4,2,41807,44310,48549
6,a5,2,2,49560,52063,56098
7,a11,1,1,57459,59962,64330
8,a11,2,1,65546,68048,74684
9,a7,2,1,76575,79079,87256
10,a1,3,3,88264,90766,92645
11,a13,1,3,93580,96084,97817
12,a8,1,2,98690,101194,103222
13,a2,3,3,104104,106608,108276
14,a6,1,3,109142,111647,114789
15,b9,5,3,115635,118139,120115
16,b10,5,3,120951,123455,125399
17,b14,5,2,126196,128698,132133
18,b7,6,2,132969,135473,139525
19,a5,3,2,140258,142761,145651
20,b0,7,3,146529,149032,150221
21,b4,7,2,150990,153494,155291
22,b1,7,3,156055,158558,159773
23,b5,7,2,160503,163007,164899
24,a16,7,2,165731,168236,169553
25,a15,0,3,170248,172751,174619
26,b14,4,3,175496,177999,180060
27,a12,1,1,180900,183404,186803
28,a0,3,2,187728,190232,191696
29,a6,2,1,192392,194896,196490
30,a13,0,2,197278,199783,202135
31,a10,1,2,202893,205397,207312
32,a6,3,1,208197,210700,213257
33,b9,5,2,214061,216565,220149
34,b11,5,3,220960,223462,226694
35,b5,7,2,227426,229930,231440
36,a12,1,2,232155,234658,236655
37,b6,6,2,237505,240008,242531
38,b6,6,2,243264,245769,247470
39,b10,5,3,248196,250699,251847
40,b13,5,3,252632,255136,257289
41,b5,7,2,258049,260552,262329
42,b7,6,2,263050,265553,268724
43,b2,7,3,269486,271988,273092
44,a15,0,3,273849,276352,277434
45,a8,2,1,278256,280759,284771
46,a14,1,3,285707,288211,289889
47,b8,5,2,291359,293862,297473
48,a17,7,3,298139,300644,301562
49,b3,7,3,302722,305224,307076
50,b13,4,2,307848,310351,312246
51,a14,0,1,313047,315551,321352
52,a14,1,1,322186,324690,326881
53,b10,5,3,327641,330145,332119
54,a4,3,1,332941,335444,338436
55,b0,7,3,339160,341663,343116
56,a0,3,3,343846,346350,349466
57,b12,5,1,350436,352939,356892
58,b11,4,2,357616,360119,362025
59,b9,5,3,362914,365417,367555
60,b6,6,1,368297,370801,373965
61,a9,1,3,374773,377277,379944
62,b17,3,3,380765,383268,389226
63,a17,0,1,389987,392491,394481
64,a1,3,3,395270,397773,398914
65,b3,6,2,399641,402144,403713
66,b14,4,1,404458,406961,410535
67,b17,4,1,411340,413843,417375
68,b1,7,3,418167,420671,421953
69,a13,0,1,422659,425162,426842
70,b16,3,3,427976,430478,431929
71,b16,3,2,432690,435194,437917
72,a17,0,1,438679,441183,442506
73,b4,6,3,443364,445867,447614
74,a15,7,1,448418,450921,454542
75,b4,6,3,455321,457825,461590
76,a9,1,3,462366,464871,466010
77,a9,1,3,466830,469333,470576
78,a11,1,3,471373,473877,475160
79,b8,6,1,475905,478409,482029
80,a0,3,3,482922,485425,486426
81,a1,4,2,487110,489612,490992
82,a5,2,3,491800,494304,495818
83,a16,7,2,496658,499161,501454
84,a3,3,3,502153,504657,505755
85,b11,5,1,506427,508930,513041
86,a4,3,3,513802,516305,517264
87,b7,6,1,517980,520483,522721
88,a2,3,2,523424,525927,528050
89,b8,6,2,528851,531354,533607
90,b15,5,1,534916,537420,542961
91,a10,1,3,543703,546207,547488
92,a12,0,2,548328,550832,556256
93,b15,4,2,557064,559568,561380
94,a2,3,2,562109,564613,566216
95,b17,3,2,566996,569499,571723
96,a7,2,3,572489,574993,575937
97,b12,4,2,576764,579267,582074
98,b15,3,3,582861,585363,586133
99,a3,3,3,586879,589383,590781
100,b16,4,2,591515,594018,596442
101,a4,3,1,597170,599675,602366
102,a8,1,3,603375,605878,607503
103,b1,7,3,608289,610793,614730
104,a7,1,2,615411,617914,621660
105,b13,4,2,622389,624891,626276
106,a10,1,3,627060,629564,631137
107,b2,7,3,631884,634388,636609
108,a16,0,3,637298,639801,643055
