id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
YB,Distal(withTip),1,21,21,1,1,1,1330,2333,3745
YB,Distal(withTip),2,32,32,1,1,1,4537,5539,7011
YB,Distal(withTip),3,41,41,1,1,1,7815,8817,10294
YB,Distal(withTip),4,23,23,1,1,1,11172,12175,13743
YB,Distal(withTip),5,14,14,1,1,1,14542,15545,16960
YB,Distal(withTip),6,13,13,1,1,1,17849,18851,20140
YB,Distal(withTip),7,14,14,1,1,1,20968,21970,23646
YB,Distal(withTip),8,34,34,1,1,1,24473,25475,26830
YB,Distal(withTip),9,43,43,1,1,1,27636,28638,29834
YB,Distal(withTip),10,13,13,1,1,1,30635,31637,32848
YB,Distal(withTip),11,21,21,1,1,1,33668,34674,36871
YB,Distal(withTip),12,34,14,0,0,1,37686,38690,41226
YB,Distal(withTip),13,24,24,1,1,1,42042,43044,44429
YB,Distal(withTip),14,34,34,1,1,1,45407,46409,48391
YB,Distal(withTip),15,14,14,1,1,1,49500,50502,51917
YB,Distal(withTip),16,21,21,1,1,1,52705,53708,55387
YB,Distal(withTip),17,34,34,1,1,1,56238,57241,58992
YB,Distal(withTip),18,41,41,1,1,1,59898,60900,62499
YB,Distal(withTip),19,42,42,1,1,1,63483,64486,66182
YB,Distal(withTip),20,42,42,1,1,1,67029,68031,69510
YB,Distal(withTip),21,43,43,1,1,1,123936,124942,126260
YB,Distal(withTip),22,24,24,1,1,1,127116,128119,129590
YB,Distal(withTip),23,23,21,0,1,0,130387,131389,133806
YB,Distal(withTip),24,32,12,0,0,1,134546,135548,136804
YB,Distal(withTip),25,42,42,1,1,1,137596,138598,139873
YB,Distal(withTip),26,23,21,0,1,0,140661,141664,143696
YB,Distal(withTip),27,31,31,1,1,1,144460,145462,146690
YB,Distal(withTip),28,42,42,1,1,1,147504,148508,149757
YB,Distal(withTip),29,24,24,1,1,1,150542,151546,153114
YB,Distal(withTip),30,42,42,1,1,1,153909,154913,156361
YB,Distal(withTip),31,31,31,1,1,1,157243,158245,159682
YB,Distal(withTip),32,41,41,1,1,1,160506,161508,163828
YB,Distal(withTip),33,32,12,0,0,1,164721,165724,168309
YB,Distal(withTip),34,24,24,1,1,1,169090,170093,171703
YB,Distal(withTip),35,12,12,1,1,1,172479,173481,175015
YB,Distal(withTip),36,31,31,1,1,1,175823,176825,178387
YB,Distal(withTip),37,31,31,1,1,1,179260,180262,181586
YB,Distal(withTip),38,12,12,1,1,1,182347,183350,185131
YB,Distal(withTip),39,12,12,1,1,1,185916,186919,188280
YB,Distal(withTip),40,21,21,1,1,1,189079,190083,191230
YB,Distal(withTip),41,14,14,1,1,1,222387,223389,225209
YB,Distal(withTip),42,13,13,1,1,1,225976,226979,228617
YB,Distal(withTip),43,32,32,1,1,1,229447,230449,231660
YB,Distal(withTip),44,31,31,1,1,1,233102,234106,235421
YB,Distal(withTip),45,23,23,1,1,1,236285,237287,238585
YB,Distal(withTip),46,41,41,1,1,1,239414,240417,241842
YB,Distal(withTip),47,24,24,1,1,1,242675,243678,245224
YB,Distal(withTip),48,13,13,1,1,1,246033,247036,248335
YB,Distal(withTip),49,41,41,1,1,1,249123,250127,251644
YB,Distal(withTip),50,13,13,1,1,1,252492,253497,254589
YB,Distal(withTip),51,23,23,1,1,1,255393,256396,257766
YB,Distal(withTip),52,34,34,1,1,1,258605,259608,262036
YB,Distal(withTip),53,14,14,1,1,1,262839,263842,265341
YB,Distal(withTip),54,21,21,1,1,1,266171,267173,268384
YB,Distal(withTip),55,12,12,1,1,1,269203,270208,271551
YB,Distal(withTip),56,43,43,1,1,1,272333,273336,274782
YB,Distal(withTip),57,32,32,1,1,1,275616,276618,278433
YB,Distal(withTip),58,43,43,1,1,1,279167,280169,281413
YB,Distal(withTip),59,43,43,1,1,1,282211,283213,284477
YB,Distal(withTip),60,12,12,1,1,1,285397,286399,287792
