"id","cond","trial.","realPattern","userAnswer","correct","c1","c2","playstamp","playendstamp","enterstamp"
"TJ","Body(withTip)",1,34,42,"0","0","0",1022,2026,3136
"TJ","Body(withTip)",2,24,14,"0","0","1",3803,4807,5924
"TJ","Body(withTip)",3,21,13,"0","0","0",6642,7644,8620
"TJ","Body(withTip)",4,12,31,"0","0","0",9277,10280,12759
"TJ","Body(withTip)",5,31,41,"0","0","1",13437,14439,15806
"TJ","Body(withTip)",6,13,34,"0","0","0",16490,17493,18815
"TJ","Body(withTip)",7,24,14,"0","0","1",19906,20909,22174
"TJ","Body(withTip)",8,41,43,"0","1","0",22846,23848,24903
"TJ","Body(withTip)",9,31,31,"1","1","1",25559,26561,27383
"TJ","Body(withTip)",10,31,31,"1","1","1",28063,29066,29901
"TJ","Body(withTip)",11,42,21,"0","0","0",30571,31576,36109
"TJ","Body(withTip)",12,43,24,"0","0","0",38116,39120,40705
"TJ","Body(withTip)",13,43,13,"0","0","1",43575,44578,45879
"TJ","Body(withTip)",14,42,31,"0","0","0",46531,47533,48462
"TJ","Body(withTip)",15,24,14,"0","0","1",49118,50121,51202
"TJ","Body(withTip)",16,34,42,"0","0","0",51841,52843,53794
"TJ","Body(withTip)",17,13,14,"0","1","0",54466,55469,56625
"TJ","Body(withTip)",18,42,42,"1","1","1",57276,58278,59464
"TJ","Body(withTip)",19,31,31,"1","1","1",60151,61154,62152
"TJ","Body(withTip)",20,21,13,"0","0","0",62805,63808,64833
"TJ","Body(withTip)",21,42,41,"0","1","0",95897,96901,97939
"TJ","Body(withTip)",22,23,13,"0","0","1",98611,99614,100447
"TJ","Body(withTip)",23,31,43,"0","0","0",101096,102099,103327
"TJ","Body(withTip)",24,34,34,"1","1","1",103972,104975,106650
"TJ","Body(withTip)",25,41,23,"0","0","0",107315,108318,110083
"TJ","Body(withTip)",26,13,14,"0","1","0",110730,111732,113424
"TJ","Body(withTip)",27,42,21,"0","0","0",114070,115073,116142
"TJ","Body(withTip)",28,13,34,"0","0","0",116811,117813,118962
"TJ","Body(withTip)",29,13,14,"0","1","0",119653,120655,121726
"TJ","Body(withTip)",30,14,12,"0","1","0",122349,123351,124808
"TJ","Body(withTip)",31,34,42,"0","0","0",125464,126466,127511
"TJ","Body(withTip)",32,43,24,"0","0","0",128159,129161,130351
"TJ","Body(withTip)",33,31,31,"1","1","1",131006,132009,133084
"TJ","Body(withTip)",34,24,14,"0","0","1",133748,134751,135945
"TJ","Body(withTip)",35,13,34,"0","0","0",136588,137591,139009
"TJ","Body(withTip)",36,23,13,"0","0","1",139665,140667,141659
"TJ","Body(withTip)",37,23,13,"0","0","1",142311,143314,144474
"TJ","Body(withTip)",38,32,31,"0","1","0",145129,146133,146943
"TJ","Body(withTip)",39,12,31,"0","0","0",147637,148641,149673
"TJ","Body(withTip)",40,41,43,"0","1","0",150341,151344,152276
"TJ","Body(withTip)",41,43,24,"0","0","0",182930,183934,185203
"TJ","Body(withTip)",42,32,42,"0","0","1",185896,186899,188526
"TJ","Body(withTip)",43,42,12,"0","0","1",189219,190223,191796
"TJ","Body(withTip)",44,34,42,"0","0","0",192470,193473,195164
"TJ","Body(withTip)",45,32,42,"0","0","1",195817,196820,197739
"TJ","Body(withTip)",46,12,12,"1","1","1",198384,199387,200283
"TJ","Body(withTip)",47,43,43,"1","1","1",200951,201954,202970
"TJ","Body(withTip)",48,14,12,"0","1","0",203647,204649,205482
"TJ","Body(withTip)",49,14,14,"1","1","1",206166,207168,209105
"TJ","Body(withTip)",50,41,21,"0","0","1",209804,210808,211743
"TJ","Body(withTip)",51,43,13,"0","0","1",212447,213450,214443
"TJ","Body(withTip)",52,14,12,"0","1","0",215089,216093,217220
"TJ","Body(withTip)",53,41,21,"0","0","1",217908,218910,221704
"TJ","Body(withTip)",54,32,42,"0","0","1",222823,223825,226810
"TJ","Body(withTip)",55,41,21,"0","0","1",227665,228668,229898
"TJ","Body(withTip)",56,42,42,"1","1","1",230582,231586,232576
"TJ","Body(withTip)",57,21,13,"0","0","0",233226,234229,235212
"TJ","Body(withTip)",58,24,12,"0","0","0",235861,236865,237861
"TJ","Body(withTip)",59,41,41,"1","1","1",238523,239525,241276
"TJ","Body(withTip)",60,13,13,"1","1","1",242010,243013,244113
"TJ","Body(withTip)",61,41,21,"0","0","1",275734,276739,277673
"TJ","Body(withTip)",62,21,13,"0","0","0",278377,279379,280297
"TJ","Body(withTip)",63,21,13,"0","0","0",280951,281953,283374
"TJ","Body(withTip)",64,23,13,"0","0","1",285613,286617,287686
"TJ","Body(withTip)",65,24,12,"0","0","0",288344,289347,291638
"TJ","Body(withTip)",66,34,34,"1","1","1",292375,293378,294432
"TJ","Body(withTip)",67,14,12,"0","1","0",295100,296103,297422
"TJ","Body(withTip)",68,14,12,"0","1","0",302787,303789,304662
"TJ","Body(withTip)",69,43,43,"1","1","1",305284,306288,307652
"TJ","Body(withTip)",70,42,31,"0","0","0",308328,309333,310317
"TJ","Body(withTip)",71,31,31,"1","1","1",311013,312015,312825
"TJ","Body(withTip)",72,13,13,"1","1","1",313479,314481,315487
"TJ","Body(withTip)",73,12,12,"1","1","1",316110,317112,317895
"TJ","Body(withTip)",74,21,13,"0","0","0",318576,319579,320399
"TJ","Body(withTip)",75,24,13,"0","0","0",321053,322057,323263
"TJ","Body(withTip)",76,24,13,"0","0","0",323925,324928,326712
"TJ","Body(withTip)",77,14,34,"0","0","1",327385,328388,329302
"TJ","Body(withTip)",78,43,43,"1","1","1",330006,331008,332006
"TJ","Body(withTip)",79,31,43,"0","0","0",332662,333664,335017
"TJ","Body(withTip)",80,23,13,"0","0","1",335674,336679,337483
"TJ","Body(withTip)",81,41,43,"0","1","0",410904,411911,412711
"TJ","Body(withTip)",82,13,34,"0","0","0",413497,414501,415341
"TJ","Body(withTip)",83,12,32,"0","0","1",416000,417002,418226
"TJ","Body(withTip)",84,14,14,"1","1","1",418916,419919,420786
"TJ","Body(withTip)",85,23,13,"0","0","1",421459,422463,423305
"TJ","Body(withTip)",86,14,12,"0","1","0",423941,424943,426352
"TJ","Body(withTip)",87,32,31,"0","1","0",426975,427978,429449
"TJ","Body(withTip)",88,43,43,"1","1","1",430087,431090,431877
"TJ","Body(withTip)",89,34,42,"0","0","0",432587,433590,434479
"TJ","Body(withTip)",90,43,43,"1","1","1",435153,436155,437033
"TJ","Body(withTip)",91,23,13,"0","0","1",437693,438697,440051
"TJ","Body(withTip)",92,21,13,"0","0","0",440697,441701,442568
"TJ","Body(withTip)",93,34,32,"0","1","0",443216,444218,445385
"TJ","Body(withTip)",94,21,24,"0","1","0",446050,447052,448389
"TJ","Body(withTip)",95,13,34,"0","0","0",449080,450083,451026
"TJ","Body(withTip)",96,24,14,"0","0","1",451695,452697,453775
"TJ","Body(withTip)",97,23,13,"0","0","1",454439,455442,457781
"TJ","Body(withTip)",98,32,42,"0","0","1",458462,459465,460503
"TJ","Body(withTip)",99,24,24,"1","1","1",461215,462218,463438
"TJ","Body(withTip)",100,32,32,"1","1","1",464146,465148,466772
"TJ","Body(withTip)",101,12,31,"0","0","0",497606,498611,499562
"TJ","Body(withTip)",102,42,41,"0","1","0",500308,501311,502356
"TJ","Body(withTip)",103,34,42,"0","0","0",503039,504042,506320
"TJ","Body(withTip)",104,12,31,"0","0","0",507175,508178,510528
"TJ","Body(withTip)",105,34,42,"0","0","0",511181,512185,513210
"TJ","Body(withTip)",106,31,31,"1","1","1",513916,514921,516007
"TJ","Body(withTip)",107,41,43,"0","1","0",516635,517638,518462
"TJ","Body(withTip)",108,31,43,"0","0","0",519174,520177,521038
"TJ","Body(withTip)",109,23,14,"0","0","0",521697,522699,523654
"TJ","Body(withTip)",110,12,31,"0","0","0",524348,525351,526296
"TJ","Body(withTip)",111,32,42,"0","0","1",526967,527970,529029
"TJ","Body(withTip)",112,32,42,"0","0","1",529674,530677,531469
"TJ","Body(withTip)",113,42,41,"0","1","0",532130,533134,534190
"TJ","Body(withTip)",114,12,31,"0","0","0",534842,535844,536654
"TJ","Body(withTip)",115,12,31,"0","0","0",537327,538329,539225
"TJ","Body(withTip)",116,23,14,"0","0","0",539908,540911,542265
"TJ","Body(withTip)",117,21,13,"0","0","0",542957,543960,545002
"TJ","Body(withTip)",118,21,23,"0","1","0",545665,546668,547767
"TJ","Body(withTip)",119,32,42,"0","0","1",548421,549423,550573
"TJ","Body(withTip)",120,14,34,"0","0","1",551282,552284,553540
