id,orientation,armpose,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
TJ,handNorth,armDown,1,l,l,1,6004,7509,7715
TJ,handNorth,armDown,2,r,r,1,9484,10987,11763
TJ,handNorth,armDown,3,t,t,1,13373,14876,15299
TJ,handNorth,armDown,4,a,a,1,16988,18492,18931
TJ,handNorth,armDown,5,a,a,1,20668,22171,23195
TJ,handNorth,armDown,6,7,7,1,24724,26228,26891
TJ,handNorth,armDown,7,a,a,1,28468,29974,30444
TJ,handNorth,armDown,8,v,v,1,32052,33555,34187
TJ,handNorth,armDown,9,v,v,1,36412,37916,38699
TJ,handNorth,armDown,10,c,c,1,40484,41989,42467
TJ,handNorth,armDown,11,j,j,1,44293,45795,45955
TJ,handNorth,armDown,12,v,l,0,47549,49052,49524
TJ,handNorth,armDown,13,v,l,0,51069,52571,53083
TJ,handNorth,armDown,14,7,7,1,54844,56347,57211
TJ,handNorth,armDown,15,c,c,1,58772,60277,60644
TJ,handNorth,armDown,16,t,t,1,81988,83493,83995
TJ,handNorth,armDown,17,l,l,1,85629,87132,87603
TJ,handNorth,armDown,18,t,t,1,89196,90699,91107
TJ,handNorth,armDown,19,r,r,1,92821,94324,94947
TJ,handNorth,armDown,20,j,j,1,96853,98356,98796
TJ,handNorth,armDown,21,j,j,1,100517,102022,102876
TJ,handNorth,armDown,22,c,c,1,104532,106035,106804
TJ,handNorth,armDown,23,a,a,1,108445,109948,110523
TJ,handNorth,armDown,24,v,v,1,112412,113915,114540
TJ,handNorth,armDown,25,t,t,1,116197,117701,118419
TJ,handNorth,armDown,26,f,c,0,120100,121604,123468
TJ,handNorth,armDown,27,f,f,1,125180,126684,128020
TJ,handNorth,armDown,28,a,a,1,130052,131556,132307
TJ,handNorth,armDown,29,c,c,1,143796,145302,145723
TJ,handNorth,armDown,30,l,l,1,147397,148901,149323
TJ,handNorth,armDown,31,r,r,1,170045,171549,172323
TJ,handNorth,armDown,32,l,l,1,174556,176059,176587
TJ,handNorth,armDown,33,7,7,1,178236,179740,182148
TJ,handNorth,armDown,34,f,f,1,183924,185427,187500
TJ,handNorth,armDown,35,j,j,1,189188,190693,190916
TJ,handNorth,armDown,36,j,j,1,192500,194004,194292
TJ,handNorth,armDown,37,f,f,1,196060,197564,199500
TJ,handNorth,armDown,38,f,f,1,201044,202548,203684
TJ,handNorth,armDown,39,7,7,1,211613,213118,213603
TJ,handNorth,armDown,40,r,r,1,215396,216899,217595
TJ,handNorth,armDown,41,7,7,1,219252,220756,221412
TJ,handNorth,armDown,42,t,t,1,223093,224596,226324
TJ,handNorth,armDown,43,c,c,1,227981,229486,229923
TJ,handNorth,armDown,44,r,r,1,231629,233132,233635
TJ,handNorth,armDown,45,l,l,1,235221,236724,237132
