"trial.","pattern","answer","confidence","playstamp","playendstamp","enterstamp"
1,200,5,3,10499,13005,17992
2,210,4,1,19487,21990,26433
3,180,4,3,27422,29925,32741
4,30,1,1,33817,36321,40697
5,300,7,2,41807,44310,48549
6,50,1,2,49560,52063,56098
7,110,2,1,57459,59962,64330
8,110,1,1,65546,68048,74684
9,70,1,1,76575,79079,87256
10,10,0,3,88264,90766,92645
11,130,2,3,93580,96084,97817
12,80,2,2,98690,101194,103222
13,20,0,3,104104,106608,108276
14,60,2,3,109142,111647,114789
15,270,6,3,115635,118139,120115
16,280,6,3,120951,123455,125399
17,320,6,2,126196,128698,132133
18,250,5,2,132969,135473,139525
19,50,0,2,140258,142761,145651
20,180,4,3,146529,149032,150221
21,220,4,2,150990,153494,155291
22,190,4,3,156055,158558,159773
23,230,4,2,160503,163007,164899
24,160,4,2,165731,168236,169553
25,150,3,3,170248,172751,174619
26,320,7,3,175496,177999,180060
27,120,2,1,180900,183404,186803
28,0,0,2,187728,190232,191696
29,60,1,1,192392,194896,196490
30,130,3,2,197278,199783,202135
31,100,2,2,202893,205397,207312
32,60,0,1,208197,210700,213257
33,270,6,2,214061,216565,220149
34,290,6,3,220960,223462,226694
35,230,4,2,227426,229930,231440
36,120,2,2,232155,234658,236655
37,240,5,2,237505,240008,242531
38,240,5,2,243264,245769,247470
39,280,6,3,248196,250699,251847
40,310,6,3,252632,255136,257289
41,230,4,2,258049,260552,262329
42,250,5,2,263050,265553,268724
43,200,4,3,269486,271988,273092
44,150,3,3,273849,276352,277434
45,80,1,1,278256,280759,284771
46,140,2,3,285707,288211,289889
47,260,6,2,291359,293862,297473
48,170,4,3,298139,300644,301562
49,210,4,3,302722,305224,307076
50,310,7,2,307848,310351,312246
51,140,3,1,313047,315551,321352
52,140,2,1,322186,324690,326881
53,280,6,3,327641,330145,332119
54,40,0,1,332941,335444,338436
55,180,4,3,339160,341663,343116
56,0,0,3,343846,346350,349466
57,300,6,1,350436,352939,356892
58,290,7,2,357616,360119,362025
59,270,6,3,362914,365417,367555
60,240,5,1,368297,370801,373965
61,90,2,3,374773,377277,379944
62,350,0,3,380765,383268,389226
63,170,3,1,389987,392491,394481
64,10,0,3,395270,397773,398914
65,210,5,2,399641,402144,403713
66,320,7,1,404458,406961,410535
67,350,7,1,411340,413843,417375
68,190,4,3,418167,420671,421953
69,130,3,1,422659,425162,426842
70,340,0,3,427976,430478,431929
71,340,0,2,432690,435194,437917
72,170,3,1,438679,441183,442506
73,220,5,3,443364,445867,447614
74,150,4,1,448418,450921,454542
75,220,5,3,455321,457825,461590
76,90,2,3,462366,464871,466010
77,90,2,3,466830,469333,470576
78,110,2,3,471373,473877,475160
79,260,5,1,475905,478409,482029
80,0,0,3,482922,485425,486426
81,10,7,2,487110,489612,490992
82,50,1,3,491800,494304,495818
83,160,4,2,496658,499161,501454
84,30,0,3,502153,504657,505755
85,290,6,1,506427,508930,513041
86,40,0,3,513802,516305,517264
87,250,5,1,517980,520483,522721
88,20,0,2,523424,525927,528050
89,260,5,2,528851,531354,533607
90,330,6,1,534916,537420,542961
91,100,2,3,543703,546207,547488
92,120,3,2,548328,550832,556256
93,330,7,2,557064,559568,561380
94,20,0,2,562109,564613,566216
95,350,0,2,566996,569499,571723
96,70,1,3,572489,574993,575937
97,300,7,2,576764,579267,582074
98,330,0,3,582861,585363,586133
99,30,0,3,586879,589383,590781
100,340,7,2,591515,594018,596442
101,40,0,1,597170,599675,602366
102,80,2,3,603375,605878,607503
103,190,4,3,608289,610793,614730
104,70,2,2,615411,617914,621660
105,310,7,2,622389,624891,626276
106,100,2,3,627060,629564,631137
107,200,4,3,631884,634388,636609
108,160,3,3,637298,639801,643055
