id,group,strategy,armpose,mode,trial#,realPattern,userAnswer,correct,playstamp,playendstamp,enterstamp
p1,digit,hetero,armFront,training,1,2,2,1,173350,175655,177657
p1,digit,hetero,armFront,training,2,1,1,1,180098,181200,182884
p1,digit,hetero,armFront,training,3,4,4,1,184896,187802,188997
p1,digit,hetero,armFront,training,4,6,6,1,190828,193132,196242
p1,digit,hetero,armFront,training,5,3,3,1,198321,200625,201328
p1,digit,hetero,armFront,training,6,3,3,1,203149,205453,206862
p1,digit,hetero,armFront,training,7,8,8,1,208854,211759,218897
p1,digit,hetero,armFront,training,8,5,5,1,220889,223797,226585
p1,digit,hetero,armFront,training,9,8,8,1,230072,232978,237235
p1,digit,hetero,armFront,training,10,9,9,1,240038,242343,245332
p1,digit,hetero,armFront,training,11,1,1,1,247233,248338,250211
p1,digit,hetero,armFront,training,12,5,5,1,252701,255608,259159
p1,digit,hetero,armFront,training,13,9,9,1,261226,263529,265066
p1,digit,hetero,armFront,training,14,7,7,1,267248,268952,272079
p1,digit,hetero,armFront,training,15,2,2,1,274061,276365,279547
p1,digit,hetero,armFront,training,16,0,0,1,281846,285352,287140
p1,digit,hetero,armFront,training,17,6,6,1,289172,291476,295151
p1,digit,hetero,armFront,training,18,0,0,1,297138,300646,303701
p1,digit,hetero,armFront,training,19,4,4,1,305738,308643,311502
p1,digit,hetero,armFront,training,20,7,7,1,313558,315261,317835
